,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
64,False,/oRqKtgOXMXCEdA2zSpD9GoVyUq8.jpg,"[35, 28, 80]",613377,fr,30 jours max,"Rayane is a scared and clumsy young cop who is constantly mocked by other cops. The day his doctor wrongly tells him that he has only thirty days to live, he understands that this is his last chance to become a hero within his police station and impress his colleague Stéphanie. The eternal fearful man then turns into a real hothead who will take all the risks to catch a big drug lord...",12.376,/okepE7ytt7bWyFdD77Et273sAtt.jpg,2020-10-14,30 Days Max,False,5.6,209
65,False,,[18],575764,fr,Haut et fort,"A realistic drama set in the cultural center in Casablanca’s Sidi Moumen neighborhood, a poor suburb that became infamous in 2003 due to a terrorist attack perpetrated by locals.",24.016,/w2ssVDqq3PzzxAv6WjEfnW5aTnP.jpg,2021-11-03,Casablanca Beats,False,2.0,1
66,False,/gAsHuCQMN7mv4uFIvM4ACQ09hPr.jpg,"[37, 18, 10749]",600583,en,The Power of the Dog,"A domineering, magnetic rancher responds with mocking cruelty when his brother brings home a new wife and her son, until the unexpected comes to pass.",15.99,/kEy48iCzGnp0ao1cZbNeWR6yIhC.jpg,2021-11-17,The Power of the Dog,False,0.0,0
67,False,/lgUpstSykB9uuVfDjjG5bU8BEqm.jpg,[10751],749927,ja,川っぺりムコリッタ,"A lonely young man moves in a 50-year-old apartment building. When he meets the cheerful residents, he finds himself surrounded by small happiness.",22.912,/4NvEJzDoKGxz0g26SQ2QuYI0QzZ.jpg,2021-11-03,Riverside Mukolitta,False,2.0,1
68,False,/ydWZBGcjJvjB7dgHuTSlwYLQvYH.jpg,[],624091,id,Sri Asih,"A girl who grew up trying to find her identity amidst injustice surrounding her. As a reincarnation of The Goddes Dewi Asih, Sri Asih tries to bring balance in the society.",22.849,/qCXI2fcknmsxIDBf8WDoivfv4NW.jpg,2021-11-04,Sri Asih,False,2.0,1
69,False,/85YzST1ZzI9TxmAMNIe2OKzZVr5.jpg,[18],661591,fr,Albatros,The life of a young police officer in a small town in Normandy is thrown into turmoil when he accidentally kills a farmer threatening to commit suicide.,22.568,/dfRksbnMcBEgILGP9ST998nwwkX.jpg,2021-11-03,Drift Away,False,0.0,0
70,False,,"[35, 10749]",680590,en,Love Is Love Is Love,"Three sto­ries that explore love, com­mit­ment, and loy­al­ty between cou­ples and friends. ""Two for Din­ner"" where a mar­ried cou­ple tem­porar­i­ly liv­ing in two dif­fer­ent loca­tions are more sep­a­rat­ed than they think. ""Sail­ing Les­son"" about a long-mar­ried cou­ple who spend a day on a sail­boat rekin­dling their romance… and unex­pect­ed events arise. ""Late Lunch"" where a young woman who recent­ly lost her moth­er gath­ers togeth­er a group of her moth­er’s friends to share mem­o­ries, with sur­pris­ing rev­e­la­tions.",16.82,/m2pmFiImzpXNUS8uKUAXSVD7lyq.jpg,2021-10-07,Love Is Love Is Love,False,2.0,1
71,False,/8OzhC0KOmGCHVLvmr2gcf0LuQGp.jpg,"[18, 36]",606870,en,The Survivor,"Harry Haft is a boxer who fought fellow prisoners in the concentration camps to survive. Haunted by the memories and his guilt, he attempts to use high-profile fights against boxing legends like Rocky Marciano as a way to find his first love again.",22.294,/dhjDv0qgU2exaunbpXwUc9dypxC.jpg,2021-11-04,The Survivor,False,2.0,1
72,False,/kukwJc6IzeAVXZvywQihWNoYxIP.jpg,"[28, 18, 80]",592508,hi,सूर्यवंशी,The action-packed adventures of an anti-terror Squad in India.,22.191,/oCymRm6FG62zrKnXiHHJvDgkYoA.jpg,2021-11-04,Sooryavanshi,False,0.0,0
73,False,,[10402],842011,ja,ARASHI Anniversary Tour 5×20 FILM “Record of Memories”,,21.917,/5uKU8r7btTiEY5kyZgwgIexR8ya.jpg,2021-11-03,ARASHI Anniversary Tour 5×20 FILM “Record of Memories”,False,0.0,0
74,False,/vYAuEi9NO23JeutE1REn6RkZUTj.jpg,"[12, 10751]",780382,en,Le loup et le lion,"After her grandfather's death, 20-year-old Alma decides to go back to her childhood home - a little island in the heart of the majestic Canadian forest. Whilst there, she rescues two helpless cubs: a wolf and a lion. They forge an inseparable bond, but their world soon collapses as the forest ranger discovers the animals and takes them away. The two cub brothers must now embark on a treacherous journey across Canada to be reunited with one another and Alma once more.",19.342,/oIBdL9Jlj9HYqwPo2UP4KRSALlK.jpg,2021-10-13,The Wolf and the Lion,False,6.2,15
75,False,/m1tqBMfDmtsgscdpOIKUWUlzD2Q.jpg,[18],473021,en,The Souvenir Part II,"In the aftermath of her tumultuous relationship with a charismatic and manipulative older man, Julie begins to untangle her fraught love for him in making her graduation film, sorting fact from his elaborately constructed fiction.",15.089,/fYNvmZ1vW7bNcUhrAzYjUBgKJWP.jpg,2021-10-29,The Souvenir Part II,False,4.0,2
76,False,/5Fa4hkurkXx0GKifehNZAvPJKdZ.jpg,[99],811933,en,Julia,"Using never-before-seen archival footage, personal photos, first-person narratives, and cutting-edge, mouth-watering food cinematography, the film traces Julia Child's surprising path, from her struggles to create and publish the revolutionary Mastering the Art of French Cooking (1961) which has sold more than 2.5 million copies to date, to her empowering story of a woman who found fame in her 50s, and her calling as an unlikely television sensation.",21.687,/2Vvt0iZVLkTQQ8ijDSvwXCDBIdQ.jpg,2021-11-04,Julia,False,0.0,0
77,False,/iIvdSxpf4epkwPuGSQ19KKZezig.jpg,[99],877387,fr,Pingouin & Goéland et leurs 500 petits,,21.63,/6VWC3ejLMypmGkCSm7lNoZepPYp.jpg,2021-11-03,Pingouin & Goéland et leurs 500 petits,False,0.0,0
78,False,/owdreZiMcBz9y4ayfyLRddpWYR6.jpg,"[18, 37]",558582,en,First Cow,"A taciturn loner and skilled cook has traveled west and joined a group of fur trappers in Oregon Territory, though he only finds true connection with a Chinese immigrant also seeking his fortune; soon the two collaborate on a successful business, although its longevity is reliant upon the clandestine participation of a nearby wealthy landowner’s prized milking cow.",13.296,/yS41crZ1i0fFxCQbuL7I1Y1VBwm.jpg,2020-03-06,First Cow,False,7.1,209
79,False,,[99],881714,fr,Au mépris de nos différences,,21.58,/2wITayGgX2eSqfzuxLqRL0xGtZJ.jpg,2021-11-03,Au mépris de nos différences,False,0.0,0
